"행정구역별(1)","특성별(1)",특성별(2),2008,2008,2008,2008,2008,2008,2010,2010,2010,2010,2010,2010,2012,2012,2012,2012,2012,2012,2014,2014,2014,2014,2014,2014,2016,2016,2016,2016,2016,2016,2018,2018,2018,2018,2018,2018
"행정구역별(1)","특성별(1)",특성별(2),계,매우 일치,일치하는 편,보통,관계없는 편,전혀 관계 없음,계,매우 일치,일치하는 편,보통,관계없는 편,전혀 관계 없음,계,매우 일치,일치하는 편,보통,관계없는 편,전혀 관계 없음,계,매우 일치,일치하는 편,보통,관계없는 편,전혀 관계 없음,계,매우 일치,일치하는 편,보통,관계없는 편,전혀 관계 없음,계,매우 일치,일치하는 편,보통,관계없는 편,전혀 관계 없음
"전국","혼인상태",이? 혼,100.0,9.7,13.6,24.6,28.9,23.2,100.0,8.1,13.3,24.9,33.3,20.4,100.0,8.2,18.3,19.3,30.0,24.1,100.0,8.2,13.8,26.7,29.5,21.7,100.0,6.8,18.4,21.1,31.5,22.2,100.0,9.7,17.4,22.7,29.4,20.8
"전국","경제활동",취? 업,100.0,16.3,23.5,22.1,21.9,16.1,100.0,15.8,22.2,22.9,24.1,15.0,100.0,17.1,22.5,22.6,23.1,14.7,100.0,16.6,22.1,23.6,22.7,15.0,100.0,16.0,21.6,24.3,22.8,15.3,100.0,15.8,22.7,24.2,22.0,15.2
"전국","경제활동",실업 및 비경제활동,100.0,10.8,19.8,28.7,25.4,15.4,100.0,11.0,20.5,26.9,28.1,13.6,100.0,12.7,21.9,28.7,23.3,13.4,100.0,12.1,19.6,29.4,25.5,13.4,100.0,13.0,19.5,28.8,25.0,13.7,100.0,11.9,18.7,32.1,25.1,12.3
"전국","산업",농림어업,100.0,10.1,14.2,19.4,33.4,22.9,100.0,6.7,13.5,20.5,35.4,23.9,100.0,6.8,12.4,17.3,35.0,28.5,100.0,9.0,10.4,24.0,35.6,21.1,100.0,9.5,15.1,20.4,35.2,19.8,100.0,5.5,16.2,16.9,38.1,23.3
"전국","산업",광공업,100.0,11.5,25.6,24.9,22.6,15.4,100.0,9.7,25.2,24.9,26.0,14.2,100.0,10.5,24.1,26.3,24.8,14.3,100.0,10.6,23.1,29.9,20.9,15.5,100.0,9.9,25.0,26.1,23.8,15.2,100.0,10.4,26.6,26.7,21.8,14.5
"전국","산업",사회간접자본?기타서비스업,100.0,17.8,23.2,21.5,21.3,16.2,100.0,17.5,21.7,22.5,23.4,14.9,100.0,19.0,22.5,21.8,22.4,14.3,100.0,18.4,22.3,21.9,22.7,14.7,100.0,17.7,20.9,23.9,22.3,15.2,100.0,17.4,22.0,23.8,21.6,15.2
"전국","직업",전문관리,100.0,31.6,29.4,18.4,12.7,7.8,100.0,34.3,28.5,18.7,11.8,6.7,100.0,37.5,29.2,18.3,9.6,5.4,100.0,33.7,29.5,19.2,10.7,6.9,100.0,33.2,29.0,20.3,11.1,6.3,100.0,32.0,32.6,18.4,10.9,6.1
"전국","직업",사? 무,100.0,10.8,27.5,26.1,21.6,14.0,100.0,9.9,26.8,28.3,22.7,12.2,100.0,11.3,26.5,28.8,22.1,11.3,100.0,10.6,26.2,28.9,22.2,12.1,100.0,10.9,24.9,31.1,20.6,12.5,100.0,10.2,22.6,32.5,20.6,14.1
"전국","직업",서비스판매,100.0,5.0,15.0,23.0,32.1,24.9,100.0,4.3,13.2,24.9,34.7,22.9,100.0,5.5,14.2,22.6,33.9,23.9,100.0,5.4,11.9,23.0,35.3,24.4,100.0,5.5,11.6,24.7,34.7,23.6,100.0,6.5,12.9,24.4,32.6,23.7
"전국","직업",농어업,100.0,10.2,14.0,18.8,33.5,23.5,100.0,6.1,13.9,20.1,36.3,23.7,100.0,8.5,12.1,16.9,33.3,29.3,100.0,9.1,10.7,24.2,35.6,20.4,100.0,8.6,15.8,21.4,35.0,19.3,100.0,5.7,16.3,18.6,38.0,21.4
