no,content,score,date
12093,일주일전에 봤으나 아직두 이영화에서 헤어나오질 못하고 잇음  음악두 쵝오    조만간 혼자가서 다시한번 영화 볼 예정임,10,2016.12.26 16:06
12094,뮤지컬 영화에 대한 편견을 날려준 최고의 영화,10,2016.12.26 16:02
12095,영화가 끝나고 문득  들었던 생각   39 진짜 마법이다   39,10,2016.12.26 16:02
12096,흔한스토리를 너무 잘 만든것 같다,10,2016.12.26 16:01
12097,처음부터 끝까지 가득 차있는 영화였어요,10,2016.12.26 15:57
12098,잔짜 잘만들었다  음악도 좋고 연출도 좋았다,10,2016.12.26 15:51
12099,잘만들었어요  슬프고 먹먹한듯 하면서도 세련된 결말,9,2016.12.26 15:38
12100,소중한 꿈이 있었던 사람이라면 공감할 수 밖에,10,2016.12.26 15:35
12101,영화관에 가볍게 갔다가 무겁게 나왔다  바로 얼마 전의 우리 이야기    그게 마치 꿈같았는데  영화도 그랬다,9,2016.12.26 15:35
12102,흠 그냥저냥 괜찮은 영화   막 재밌지도 않고    이 감독영화는 대체적으로 다 그런듯,6,2016.12.26 15:27
12103,집중을 계속하게 되고마지막에 너무 슬퍼서 계속 울었습니다,10,2016.12.26 15:23
12104,오랫만에 여운이 많이 남는 영화를 만나서 아직도 헤어나오지 못해요,10,2016.12.26 15:21
12105,,9,2016.12.26 15:02
12106,이별해도 사랑이 끝난 건 아니다,10,2016.12.26 14:57
12107,앞부분은 예뻤는데 마지막부분 되게 아련하고 가슴시리네요,10,2016.12.26 14:55
12108,정말 멋진 뮤지컬 영화,10,2016.12.26 14:35
12109,음악은 역시 최고  배우들의 눈빛도 최고  굳이 대사로 전하지 않는 감정들이 눈빛으로 전달되버린다,9,2016.12.26 14:19
12110,오랜만에 집중해서 본 영화   영상미도 좋고현실적이어서 슬플뿐,10,2016.12.26 14:18
12111,다시 한 번 볼까 고민중인 영화    그만 큼 여운이 진한 영화,9,2016.12.26 14:07
12112,늘어지는 부분이 아쉽지만 전체적으로 완성도높았던 완벽에 가까웠던 예술적인 영화,9,2016.12.26 13:56
12113,2016년 올 해 최고의 영화  도입부터 엔딩크레딧이 올라가는 순간까지 놓칠 수 없는 완벽한 영화,10,2016.12.26 13:45
12114,기대하고 보러갑니다,10,2016.12.26 13:16
12115,감정적이지 않은게 문제일 수도 있지만  중간에 지루한 부분이 있었어요   너무나도 현실적인 결말에 또 한번 당황하기도 했고   저는 개인적으로는 그냥 그랬어요   호불호가 갈린다더니  저는 불호쪽이었나봅니다,5,2016.12.26 13:13
12116,뮤지컬의 규모로 보면 개츠비 같은 영화류에 떨어집니다  높은 평점에 의구심을 가지는 분들이 있는데  저도 몇년전에 봤으면 크게 공감을 하지 못했을수있지만 남녀의 미묘한 감정표현을 너무 잘했고  음악도 감정을후벼팝니다  마지막장면은 물이 펑펑나더군요,9,2016.12.26 13:04
12117,처음에는 그저 뻔한 음악 영화인줄 알았으나  인생의 희로애락과 음악 그리고 춤이 어울러져  정말 스토리텔링이 탄탄하고 영상미가 아주 좋다  간만에 영화 다운 영화를 본 느낌이였다,10,2016.12.26 12:58
12118,진짜 오랜만에 감명 깊게 본 영화인것 같습니다  여태 영화 후기 쓴적이 없었는데 처음으로 쓰고 갑니다  혼자 보러 갔다가 이렇게 좋은 영화를 남자친구랑 같이 보러 안간게 아쉬울 정도였어요  끝나고 지인들한테 폭풍 추천 했습니다,10,2016.12.26 12:53
12119,음악이 너무 좋고 다소 마음아프지만 현실이겠거니 생각이 든 결말도 좋았습니다 영화가 끝나고 계속 멜로디가 남네요,9,2016.12.26 12:48
12120,여보랑 봐서 좋았습니다,10,2016.12.26 12:33
12121,현실에 감성이 죽어있는 요즘 필요한 영화  16년 연말    그냥 감정이 없다,9,2016.12.26 12:29
12122,영화색이 너무예뻤다  라이언 고슬링주연의 작품은 기본이상 하는듯,10,2016.12.26 12:29
12123,상상도 못했을 감정을 느끼게 해준 인생영화,10,2016.12.26 12:20
12124,보는 내내 행복했다  그것으로 이 영화의 역활은 충분하다,10,2016.12.26 12:06
12125,나쁘지 않고 무난하고 적당함  뮤지컬 영화임에도 딱히 죽여주는 음악이 나오지는 않고  다만 영상이 괜찮음,7,2016.12.26 11:37
12126,열정을 다해 각자의 꿈을 이뤄가던 그때의 옛여인이 소환되는영화  화려하면서도 우울한   엔딩장면은 며칠을두고도 생각이 나네요,9,2016.12.26 11:37
12127,모든것이 환상이라고 할지라도,10,2016.12.26 11:24
12128,크리스마스를 낭만적으로 보낼 수 있었던 영화입니다  너무 좋았어요,10,2016.12.26 11:11
12129,중간에 살짝씩 지루하기도 했지만 다 보고 나니 여운이 기네요  잊지 못할 거 같은 영화가 한편 더 늘었습니다  평점이 극과극이네요  중간이 없어요,9,2016.12.26 11:10
12130,라라랜드로 인해 잊지못할 2016년 크리스마스 밤  영화속으로 빨려들어가 행복했다,10,2016.12.26 10:34
12131,마지막 십분이 다 한영화라이언고슬링은 노트북도그렇고 다시 뒤돌아보게만드는마성의남자인듯   서로를 쳐다보는 애잔하고 긴장되는 떨림을 잊을수없다,8,2016.12.26 10:31
12132,관람객         유쾌하고 기분 좋아요,9,2016.12.26 10:28
12133,여운이 많이 남는영화     흘러가게 내버려둔 결말이 조금 슬펐지만 그둘은 자신이 하고 싶어하던 일을 잘해냈다,10,2016.12.26 10:17
12134,생각보다 지루했다,7,2016.12.26 10:12
12135,아프게도 현실적인 이야기를 비현실적이게 풀어낸 너무 아름다운 영화  여운이 가시질 않는다    39 월요일 출근  39 을 했는데도 말이다,10,2016.12.26 10:07
12136,개인적으로는 누구나 한번쯤 인생에서   39 이랬으면 어땠을까  39  하는 씁쓸할 수 밖에 없는 달콤한 상황을 그려보았을 듯 하다  이 둘의 사랑이야기라기 보다  어쩌면 꿈과 이상을 품고 사는 우리의 이야기가 될 수 있지 않을까    고슬링작품에사연이 깊은 1인,10,2016.12.26 10:04
12137,열번봐도 새로울 영화다,10,2016.12.26 09:54
12138,두번째 감사했습니다 오늘로 인생영화가 바뀜,10,2016.12.26 09:53
12139,오프닝이 중요하다는 말을 왜 못들었을까     늦게 들어가서 오프닝 못봄   영화의 30 는 오프닝곡인과 그 장면인듯 싶은데   그래도 맘마미아보다 내용은 더 좋은 듯   묘한 반전  마지막은 영화중 미완성된 욕구의 아쉬움들을 싹 정리해주는 느낌,8,2016.12.26 09:46
12140,올해 내가 유일하게 10점준  영화 라라 랜드,10,2016.12.26 09:30
12141,장래희망이 무엇이었는지 기억하지 못하는 우리들을 위한 영화,10,2016.12.26 09:30
12142,인생영화 등극  여운이 너무 많이남고  영화보고난 후    를 반복해서 들으며 영화장면을 상상하는것만으로도 즐거운 영화   꼭 다시 한 번 보러 가겠습니다,10,2016.12.26 09:22
12143,덕분에 금요일 저녁  설레이면서 잠들었습니다,10,2016.12.26 09:21
12144,개인적으로 정말 좋았습니다  꿈을 꾸는 듯한 느낌이었네요  잤다는 얘기 아닙니다,10,2016.12.26 08:57
